validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss
0.06845168769359589,0.17533119022846222,0.9532539248466492,1.0067366361618042,-136.68014526367188,-49.70671844482422,50.72343444824219,0.06841415911912918,0.1753002405166626,0.26156100630760193,0.41868871450424194,6,223,,,,,,,
,,,,,,,,,,,6,223,0.06870733201503754,0.17585280537605286,0.9533838629722595,1.0070000886917114,-137.20947265625,-49.135841369628906,50.15327453613281
0.06838542968034744,0.17222699522972107,0.9532535076141357,1.0052857398986816,-135.17706298828125,-49.43264389038086,50.44720458984375,0.06834612786769867,0.17216892540454865,0.26143091917037964,0.4149324297904968,7,255,,,,,,,
,,,,,,,,,,,7,255,0.06868916004896164,0.17388859391212463,0.9533893465995789,1.0060383081436157,-135.81942749023438,-48.75227737426758,49.76787567138672
0.06838469952344894,0.1710914820432663,0.9532447457313538,1.004740834236145,-135.84716796875,-49.279579162597656,50.2945671081543,0.06834565848112106,0.17104333639144897,0.261430025100708,0.41357386112213135,8,287,,,,,,,
,,,,,,,,,,,8,287,0.06850595772266388,0.1717911809682846,0.9533045291900635,1.0050463676452637,-135.09375,-48.380855560302734,49.395240783691406
0.06880678236484528,0.17182554304599762,0.9534797072410583,1.0051642656326294,-134.8444061279297,-49.1074333190918,50.12171173095703,0.06876987218856812,0.17173555493354797,0.26224011182785034,0.414409875869751,9,319,,,,,,,
,,,,,,,,,,,9,319,0.06850132346153259,0.17093856632709503,0.9533073902130127,1.0046454668045044,-135.0089569091797,-48.10944747924805,49.12358093261719
0.06901209056377411,0.17345090210437775,0.9535823464393616,1.0060988664627075,-134.6547088623047,-49.00111389160156,50.01565933227539,0.06897520273923874,0.17337477207183838,0.26263129711151123,0.41638296842575073,10,351,,,,,,,
,,,,,,,,,,,10,351,0.06861608475446701,0.17044800519943237,0.953369677066803,1.0044286251068115,-134.5874481201172,-47.845008850097656,48.858638763427734
0.06838870048522949,0.16728366911411285,0.953262448310852,1.0029940605163574,-133.84390258789062,-48.89839172363281,49.91059494018555,0.06835097074508667,0.16727209091186523,0.2614401876926422,0.4089891016483307,11,383,,,,,,,
,,,,,,,,,,,11,383,0.06882738322019577,0.16940142214298248,0.9534816145896912,1.0039784908294678,-133.9132843017578,-47.61294937133789,48.625762939453125
0.06875528395175934,0.16973283886909485,0.9534721374511719,1.0042444467544556,-131.05282592773438,-48.83251953125,49.84258270263672,0.0687195286154747,0.16976207494735718,0.2621440887451172,0.4120219349861145,12,415,,,,,,,
,,,,,,,,,,,12,415,0.06886926293373108,0.16834065318107605,0.953508198261261,1.003563642501831,-132.4987030029297,-47.43801498413086,48.4492301940918
0.06850460916757584,0.16737249493598938,0.9533436298370361,1.003176212310791,-128.4686279296875,-48.77538299560547,49.78233337402344,0.06846915930509567,0.16739758849143982,0.26166611909866333,0.40914249420166016,13,447,,,,,,,
,,,,,,,,,,,13,447,0.06892388314008713,0.16772788763046265,0.9535483717918396,1.003321886062622,-129.9000701904297,-47.27934265136719,48.287872314453125
0.06879746168851852,0.1671513468027115,0.9534992575645447,1.0033047199249268,-127.90221405029297,-48.74861526489258,49.755126953125,0.06876224279403687,0.16714784502983093,0.26222556829452515,0.4088371992111206,14,479,,,,,,,
,,,,,,,,,,,14,479,0.06898335367441177,0.16806964576244354,0.9535871744155884,1.003558874130249,-127.7561264038086,-47.11516571044922,48.121673583984375
0.0687466561794281,0.16428911685943604,0.9534708857536316,1.0019497871398926,-127.91692352294922,-48.67803955078125,49.68394088745117,0.06871364265680313,0.1642857789993286,0.2621328830718994,0.40532180666923523,15,511,,,,,,,
,,,,,,,,,,,15,511,0.06900792568922043,0.16657109558582306,0.953606367111206,1.0029250383377075,-127.54681396484375,-46.97736358642578,47.98339080810547
0.06869182735681534,0.1688108891248703,0.9534668922424316,1.0044927597045898,-127.46721649169922,-48.64737319946289,49.65395736694336,0.06865829229354858,0.1687590330839157,0.2620272636413574,0.4108029007911682,16,543,,,,,,,
,,,,,,,,,,,16,543,0.06912066042423248,0.16611430048942566,0.9536628127098083,1.0027738809585571,-127.8100814819336,-46.86194610595703,47.86819076538086
0.06889474391937256,0.16539043188095093,0.953569769859314,1.002846360206604,-126.41121673583984,-48.603824615478516,49.608673095703125,0.06886159628629684,0.16536152362823486,0.26241493225097656,0.4066466689109802,17,575,,,,,,,
,,,,,,,,,,,17,575,0.06936340779066086,0.16613589227199554,0.9537848234176636,1.0028927326202393,-126.55865478515625,-46.76775360107422,47.77285385131836
0.06906850636005402,0.1625501811504364,0.9536563158035278,1.001291036605835,-126.11927032470703,-48.581424713134766,49.5853157043457,0.0690346360206604,0.1625194549560547,0.2627444267272949,0.4031370282173157,18,607,,,,,,,
