validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_step/linear_loss,validation_step/linear_accuracy,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,validation_epoch_metrics/avg_linear_accuracy,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss,training_step/linear_loss,training_step/linear_accuracy
0.08998572081327438,0.35638582706451416,0.9640932679176331,1.0957316160202026,-126.70972442626953,-58.54958724975586,80.67994689941406,2.107877254486084,0.21757864952087402,0.08992801606655121,0.3565158545970917,0.2998799979686737,0.5970894694328308,0.2167423963546753,0,31,,,,,,,,,
,,,,,,,,,,,,,,0,31,0.13060098886489868,0.6021928787231445,0.9839356541633606,1.2012659311294556,6.853363037109375,-73.45315551757812,97.70729064941406,2.327983856201172,0.1735161989927292
0.0770832821726799,0.2565259039402008,0.9576359987258911,1.0470257997512817,-151.0729217529297,-55.9275016784668,71.69548034667969,1.4716815948486328,0.4577213525772095,0.07704279571771622,0.2564639449119568,0.2775658369064331,0.5064226984977722,0.4574602544307709,1,63,,,,,,,,,
,,,,,,,,,,,,,,1,63,0.08389482647180557,0.3057948052883148,0.9610045552253723,1.0711075067520142,-153.54246520996094,-57.001007080078125,76.14202117919922,1.8075045347213745,0.3585229218006134
0.07137416303157806,0.197143092751503,0.9547273516654968,1.0175039768218994,-133.50279235839844,-55.25666046142578,66.22249603271484,0.9946801662445068,0.6765509843826294,0.07133729755878448,0.19710540771484375,0.26709043979644775,0.4439655542373657,0.6760476231575012,2,95,,,,,,,,,
,,,,,,,,,,,,,,2,95,0.07366356998682022,0.22252175211906433,0.9558861255645752,1.0300463438034058,-141.46568298339844,-55.30630111694336,68.32850646972656,1.198905348777771,0.6015228033065796
0.06899026036262512,0.17068029940128326,0.9535369277000427,1.0043458938598633,-118.20408630371094,-54.35383224487305,61.955162048339844,0.6604037880897522,0.7878885865211487,0.06895366311073303,0.17062480747699738,0.26259028911590576,0.4130675494670868,0.7883434295654297,3,127,,,,,,,,,
,,,,,,,,,,,,,,3,127,0.07014032453298569,0.1821819394826889,0.9541066884994507,1.010066032409668,-122.88693237304688,-54.601417541503906,63.474788665771484,0.7868571281433105,0.7491698861122131
0.06797733902931213,0.1580435335636139,0.9530383348464966,0.9981579184532166,-106.16787719726562,-53.74279022216797,59.14875793457031,0.4423713982105255,0.8699902892112732,0.06794218719005585,0.1580064594745636,0.2606572210788727,0.39750027656555176,0.8708041906356812,4,159,,,,,,,,,
,,,,,,,,,,,,,,4,159,0.06858865916728973,0.1654205620288849,0.9533393383026123,1.0018327236175537,-109.25145721435547,-54.01976013183594,60.50452423095703,0.5497643351554871,0.8265919089317322
0.06743129342794418,0.1501118242740631,0.9527353048324585,0.9942348003387451,-115.948486328125,-53.066219329833984,57.668766021728516,0.3612402379512787,0.8940369486808777,0.06739719212055206,0.15007320046424866,0.2596096992492676,0.3873928189277649,0.8943365812301636,5,191,,,,,,,,,
,,,,,,,,,,,,,,5,191,0.06774598360061646,0.15334077179431915,0.9529040455818176,0.9958289265632629,-111.60537719726562,-53.20133972167969,57.42203140258789,0.32340991497039795,0.914963960647583
0.0670083686709404,0.14513106644153595,0.9525260329246521,0.9917458295822144,-119.81830596923828,-52.43101501464844,56.32957077026367,0.2905762195587158,0.9118287563323975,0.06697320193052292,0.14509090781211853,0.25879180431365967,0.3809080123901367,0.9121806621551514,6,223,,,,,,,,,
,,,,,,,,,,,,,,6,223,0.06728702038526535,0.14675571024417877,0.9526664018630981,0.9925841689109802,-117.73059844970703,-52.50950622558594,55.57695770263672,0.20763003826141357,0.9523544907569885
