validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_step/linear_loss,validation_step/linear_accuracy,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,validation_epoch_metrics/avg_linear_accuracy,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss,training_step/linear_loss,training_step/linear_accuracy
,,,,,,,,,,,,,,9,319,0.06857282668352127,0.17052213847637177,0.9533349871635437,1.0044121742248535,-129.78076171875,-48.249107360839844,49.25791931152344,1.9574904441833496,0.33640673756599426
0.06813459098339081,0.16732916235923767,0.9531154036521912,1.002950668334961,-133.82801818847656,-49.06202697753906,50.07413101196289,1.936745285987854,0.3352638781070709,0.06810006499290466,0.16731132566928864,0.2609598934650421,0.4090370833873749,0.33447298407554626,10,351,,,,,,,,,
,,,,,,,,,,,,,,10,351,0.06837090104818344,0.1682884395122528,0.9532365202903748,1.003364086151123,-131.94288635253906,-47.96152114868164,48.97197341918945,1.9435323476791382,0.3406693637371063
0.06815560907125473,0.16595235466957092,0.9531489014625549,1.0023090839385986,-133.74456787109375,-48.9663200378418,49.97805404663086,1.9253501892089844,0.3423064351081848,0.06812304258346558,0.16592751443386078,0.26100391149520874,0.40734201669692993,0.3415243923664093,11,383,,,,,,,,,
,,,,,,,,,,,,,,11,383,0.06835856288671494,0.16661804914474487,0.9532427787780762,1.0026185512542725,-133.55764770507812,-47.74909973144531,48.760833740234375,1.936638355255127,0.3424917757511139
0.06808293610811234,0.16350606083869934,0.9531322121620178,1.0012366771697998,-132.5077667236328,-48.883338928222656,49.89336395263672,1.928114891052246,0.3337348699569702,0.06804914772510529,0.16347253322601318,0.2608623206615448,0.40431737899780273,0.33270391821861267,12,415,,,,,,,,,
,,,,,,,,,,,,,,12,415,0.06840050965547562,0.16499990224838257,0.9532739520072937,1.001924753189087,-133.15406799316406,-47.565242767333984,48.57628631591797,1.9327547550201416,0.34173500537872314
0.06795505434274673,0.16321004927158356,0.9530693292617798,1.0011591911315918,-131.0321807861328,-48.795997619628906,49.804473876953125,1.9204323291778564,0.3461984097957611,0.06791996210813522,0.16318781673908234,0.2606145739555359,0.4039651155471802,0.3450629413127899,13,447,,,,,,,,,
,,,,,,,,,,,,,,13,447,0.06836521625518799,0.16471345722675323,0.9532696604728699,1.0019190311431885,-131.96527099609375,-47.40648651123047,48.41633605957031,1.9292340278625488,0.3419049084186554
0.06843527406454086,0.16299176216125488,0.9533067345619202,1.001107096672058,-130.1605682373047,-48.76714324951172,49.77483367919922,1.9218406677246094,0.3427697718143463,0.0684036910533905,0.16294033825397491,0.2615409791469574,0.4036586880683899,0.34189221262931824,14,479,,,,,,,,,
,,,,,,,,,,,,,,14,479,0.06831888854503632,0.16307489573955536,0.9532485008239746,1.0011677742004395,-130.32135009765625,-47.24839782714844,48.256248474121094,1.9216914176940918,0.34663084149360657
