validation_step/gex_MSE,validation_step/adt_MSE,validation_step/gex_pred_likelihood,validation_step/adt_pred_likelihood,validation_step/entropy,validation_step/GMM_likelihood,validation_step/loss,validation_step/linear_loss,validation_step/linear_accuracy,validation_epoch_metrics/avg_adt_mse,validation_epoch_metrics/avg_gex_mse,validation_epoch_metrics/avg_adt_rmse,validation_epoch_metrics/avg_gex_rmse,validation_epoch_metrics/avg_linear_accuracy,epoch,step,training_step/gex_MSE,training_step/adt_MSE,training_step/gex_pred_likelihood,training_step/adt_pred_likelihood,training_step/entropy,training_step/GMM_likelihood,training_step/loss,training_step/linear_loss,training_step/linear_accuracy
0.1684703826904297,0.9961545467376709,1.0021320581436157,1.3855618238449097,68.09783935546875,-90.76013946533203,91.76411437988281,2.4855058193206787,0.06319702416658401,0.17322905361652374,0.9908124208450317,0.4162079393863678,0.9953956007957458,0.08340219408273697,0,3,,,,,,,,,
,,,,,,,,,,,,,,0,3,0.1725551337003708,1.0441029071807861,1.0064582824707031,1.4403144121170044,70.4454574584961,-94.42265319824219,95.45081329345703,2.491628408432007,0.059643685817718506
0.15897664427757263,0.8664209842681885,0.99576735496521,1.2882795333862305,60.879878997802734,-84.31214904785156,85.27681732177734,2.476638078689575,0.16171003878116608,0.16348494589328766,0.8604172468185425,0.4043327271938324,0.9275867938995361,0.18535907566547394,1,7,,,,,,,,,
,,,,,,,,,,,,,,1,7,0.16797448694705963,0.980681300163269,1.001301884651184,1.3683264255523682,66.36209106445312,-89.01543426513672,90.01302337646484,2.4846417903900146,0.1143299788236618
0.1409483253955841,0.5988035798072815,0.9886832237243652,1.1656568050384521,49.9386100769043,-77.6187515258789,78.53611755371094,2.4600791931152344,0.13847583532333374,0.14506539702415466,0.5937108993530273,0.38087451457977295,0.7705263495445251,0.15489783883094788,2,11,,,,,,,,,
,,,,,,,,,,,,,,2,11,0.156128391623497,0.8158895969390869,0.9944435954093933,1.2590714693069458,57.97178649902344,-82.6569595336914,83.61082458496094,2.476297378540039,0.14128582179546356
0.12595513463020325,0.43508487939834595,0.9815446734428406,1.1425544023513794,33.73098373413086,-70.55987548828125,71.47987365722656,2.4442481994628906,0.13522304594516754,0.12970879673957825,0.4312833249568939,0.360151082277298,0.6567216515541077,0.15318885445594788,3,15,,,,,,,,,
,,,,,,,,,,,,,,3,15,0.1372479796409607,0.5370742678642273,0.9873843193054199,1.1549121141433716,46.0803337097168,-75.6273422241211,76.54315185546875,2.458740234375,0.12920217216014862
